Description,City,Neighborhood,Latitude,Longitude,Reference_Code,Violation_Type,Recording_Date,Recording_Hour,Recording_Minute,Source,Youtube_ID,Weapons_Used,URLs_And_News,Page_Title,Video_URL,Database_ID
Destruction as a result of an alleged Russian airstrike,ALEPPO,Yaqed Al Adas,NA,NA,AL_ff8731,Other,2016-11-19,14.0,59.0,مركز عندان الإعلامي,https://www.youtube.com/watch?v=NMmS-8XS6SQ,NA,NA,ff87312c77fecd3d15056d2fbca4fb7265ce1678478541d4e39fb57a,https://media.syrianarchive.org/files/spoon/sV_20161119_NMmS-8XS6SQ.mp4,37446
Airstrikes that targeted Aleppo city,ALEPPO,NA,NA,NA,AL_c6c52,Other,2016-11-19,14.0,43.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=X_nsAZlFMdo,NA,NA,c6c521168cf5d47f4948171c84d01c332a85180e7c3863646bf1d00c,https://media.syrianarchive.org/files/spoon/sV_20161119_X_nsAZlFMdo.mp4,37580
Destruction as a result of airstrikes that targeted Aleppo city which caused casualties,ALEPPO,Seif al-Dawleh,NA,NA,AL_b58dd,Unlawful attacks,2016-11-19,14.0,39.0,Qasioun News Agency,https://www.youtube.com/watch?v=j6Pggs5KPpE,NA,NA,b58dd244c5b30833ccb3d79a68f491b1143c4ce98592b70dc8b3784b,https://media.syrianarchive.org/files/spoon/sV_20161119_j6Pggs5KPpE.mp4,37545
Destruction as a result of airstrikes that targeted Aleppo city,ALEPPO,Seif al-Dawleh,NA,NA,AL_ac98c,Other,2016-11-19,14.0,32.0,Buraq.Media .Foundation,https://www.youtube.com/watch?v=07ucp_k09bA,NA,NA,ac98ca87656a9356746ea7a8d699c9d26cfd64401744dccb531c6d83,https://media.syrianarchive.org/files/spoon/sV_20161119_07ucp_k09bA.mp4,37457
Destruction as a result of airstrikes with a barrel bomb that targeted Aleppo old city,ALEPPO,NA,NA,NA,AL_34496,Other,2016-11-19,14.0,8.0,شبكة حلب نيوز - Halab News Network,https://www.youtube.com/watch?v=ca689M_epLE,NA,NA,344964e2401e6e2e25bf4e72955fc6737c8edafef849bfa2eb9d3aa3,https://media.syrianarchive.org/files/spoon/sV_20161119_ca689M_epLE.mp4,37462
Destruction as a result of airstrikes that targeted Aleppo city,ALEPPO,Ansari,NA,NA,AL_66e02,Other,2016-11-19,14.0,4.0,Buraq.Media .Foundation,https://www.youtube.com/watch?v=EALJkLD89EA,NA,NA,66e02ebaccb86de4c809646ce82e30ef05a6d0242147ff37ff9bad94,https://media.syrianarchive.org/files/spoon/sV_20161119_EALJkLD89EA.mp4,37456
Airstrikes [helicopter] that targeted Aleppo city,ALEPPO,Bab Road,NA,NA,AL_17848,Other,2016-11-19,14.0,2.0,Halab Today TV | قناة حلب اليوم,https://www.youtube.com/watch?v=oGhx_fK2394,NA,NA,178480be3f31fc4d0a17d7d5d3b2d3cb46b88d8e051ba7967d448d81,https://media.syrianarchive.org/files/spoon/sV_20161119_oGhx_fK2394.mp4,37557
Casualties [including a family] and destruction as a result of airstrikes in Aleppo countryside,ALEPPO,Rif al Mohandeseen,NA,NA,AL_d8bcd,Other,2016-11-19,13.0,59.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=YdRpR24EPE4,NA,NA,d8bcd44d9e734d86e239608e3bd717c8f898771c070f29873dff5694,https://media.syrianarchive.org/files/spoon/sV_20161119_YdRpR24EPE4.mp4,37584
Casualties and injured in the old city of Aleppo as a result of airstrikes from a helicopter,ALEPPO,Jalloum,NA,NA,AL_e6c41,Unlawful attacks,2016-11-19,13.0,31.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=Cac6Z9pnAI0,NA,NA,e6c415193e23c22bf56747c2209ce00993a6d0ed5fef75163740324c,https://media.syrianarchive.org/files/spoon/sV_20161119_Cac6Z9pnAI0.mp4,37590
Airstrikes that targetd Aleppo city,ALEPPO,Seif al-Dawleh,NA,NA,AL_dcd27,Other,2016-11-19,13.0,20.0,Biroya Media Foundation,https://www.youtube.com/watch?v=SrNBy82feMk,NA,NA,dcd2706871b6b4eab0b79dc027c0b20e713b290a4e571fd21dd88bb2,https://media.syrianarchive.org/files/spoon/sV_20161119_SrNBy82feMk.mp4,37439
Airstrikes that targetd Aleppo countryside,ALEPPO,Al mentar,NA,NA,AL_aa614,Unlawful attacks,2016-11-19,13.0,12.0,Step News Agency,https://www.youtube.com/watch?v=rP-8nNudb7A,NA,NA,aa614d0363939f20a81c1f6e8dd5d143322926c3c0d5435e2b25a2a8,https://media.syrianarchive.org/files/spoon/sV_20161119_rP-8nNudb7A.mp4,37508
Casualties and injured as a result of a barrel bomb attack in Aleppo city,ALEPPO,Seif al-Dawleh,NA,NA,AL_a0ac5,Other,2016-11-19,12.0,51.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=waAvKH8kClo,NA,NA,a0ac5030c2600db7fb70b5011b226e828e8af1023c8e716c42213f09,https://media.syrianarchive.org/files/spoon/sV_20161119_waAvKH8kClo.mp4,37524
Airstrikes that targeted M2 hospital which caused casualties and injuries,ALEPPO,NA,NA,NA,HO_95ce5,Specifically protected persons and objects,2016-11-19,12.0,30.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=IM7Gx8vohkM,NA,NA,95ce5072996d88e72911d944612c160fdff06f6805f444e0fc709a47,https://media.syrianarchive.org/files/spoon/sV_20161119_IM7Gx8vohkM.mp4,37485
Flying helicopter over Aleppo city,ALEPPO,NA,NA,NA,AL_cb258,Other,2016-11-19,12.0,22.0,Step News Agency,https://www.youtube.com/watch?v=abASW2LctkI,NA,NA,cb2581732e7ec1118f1afbbb08c1e039c65b09362e01ce95ad738dd1,https://media.syrianarchive.org/files/spoon/sV_20161119_abASW2LctkI.mp4,37512
Airstrikes that targeted Al Ma'adi district in Aleppo city,ALEPPO,Ma'adi,NA,NA,AL_42422,Other,2016-11-19,11.0,52.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=5gzjlCPGVPM,NA,NA,42422d016ca953ecf3685119ff8367bd5e05da6a434bc02c97716884,https://media.syrianarchive.org/files/spoon/sV_20161119_5gzjlCPGVPM.mp4,37586
Casualties and injured as a result of airstrikes that targeted Aleppo countryside,ALEPPO,Yaqed Al Adas,NA,NA,AL_ff218,Unlawful attacks,2016-11-19,11.0,7.0,RFS NORTH,https://www.youtube.com/watch?v=NkdfezzDpho,NA,NA,ff218f28a630e500b56639a95c26cb0d1096a3dfd4bc3a23e764c1dc,https://media.syrianarchive.org/files/spoon/sV_20161119_NkdfezzDpho.mp4,37447
Airstrikes with missiles that have parachutes in Aleppo countryside,ALEPPO,Kafar Naha,NA,NA,AL_8df34,Other,2016-11-19,11.0,7.0,Step News Agency,https://www.youtube.com/watch?v=SudcTEyHHWs,NA,NA,8df34dff57245dfe6b22bbb6b7e0742e35a7e01b4e46268b4968e791,https://media.syrianarchive.org/files/spoon/sV_20161119_SudcTEyHHWs.mp4,37510
Casualties and injured as a result of airstrikes that targeted Seif Al Dawlah district in Aleppo city,ALEPPO,Seif al-Dawleh,NA,NA,AL_284fb,Unlawful attacks,2016-11-19,10.0,55.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=UQGzz1FL7R4,NA,NA,284fba6191c9b9514db9924efa8d2bf863a7af3c9563d708d7c65341,https://media.syrianarchive.org/files/spoon/sV_20161119_UQGzz1FL7R4.mp4,37465
Casualties and injured as a result of airstrikes that targeted Al Ansari district in Aleppo city,ALEPPO,Ansari,NA,NA,AL_94abb,Unlawful attacks,2016-11-19,9.0,56.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=sUo6XKhuLvI,NA,NA,94abbdf9798026dabf0ae6e990894c0727a24ae97831588d6927abfa,https://media.syrianarchive.org/files/spoon/sV_20161119_sUo6XKhuLvI.mp4,37466
Barrel bomb attack through an airstrike that targeted Aleppo city,ALEPPO,Karam al-Beek,NA,NA,AL_9b1b9,Other,2016-11-19,9.0,32.0,شبكة حلب نيوز - Halab News Network,https://www.youtube.com/watch?v=ZSZ6TdTzBgw,NA,NA,9b1b935914e7e642b895a2eee31563d5a90c4ce8865e1a45cd33e364,https://media.syrianarchive.org/files/spoon/sV_20161119_ZSZ6TdTzBgw.mp4,37459
Barrel bomb attack through an airstrike that targeted Aleppo city,ALEPPO,Alshaar,NA,NA,AL_d515d,Other,2016-11-19,9.0,27.0,شبكة حلب نيوز - Halab News Network,https://www.youtube.com/watch?v=7UojB7FZwuU,NA,NA,d515d809c14cb6778ebe06825022981e9a3df3b64fe0a4493130ba22,https://media.syrianarchive.org/files/spoon/sV_20161119_7UojB7FZwuU.mp4,37460
The civil defense team is rescuing a child and a man who was stuck under rubbels as a result og an alleged Russian airstrike,ALEPPO,Yaqed Al Adas,NA,NA,AL_d4026,Unlawful attacks,2016-11-19,7.0,45.0,الحركة الشعبية السورية,https://www.youtube.com/watch?v=HsEuYIMOjFg,NA,NA,d402641d6cf280cda39f8f6294ec5666b16e80a337d62c36f73f46e0,https://media.syrianarchive.org/files/spoon/sV_20161118_HsEuYIMOjFg.mp4,41202
The civil defense team is rescuing a child who was stuck under rubbels as a result og an alleged Russian airstrike,ALEPPO,Yaqed Al Adas,NA,NA,AL_b83b1,Unlawful attacks,2016-11-19,6.0,38.0,الحركة الشعبية السورية,https://www.youtube.com/watch?v=ELJah46oTqg,NA,NA,b83b108f50ec61063afc66f5e58a7ff5b05e772aba4848964f4fe895,https://media.syrianarchive.org/files/spoon/sV_20161118_ELJah46oTqg.mp4,41201
Rescuing a child who was stuck under rubbels as a result og an alleged Russian airstrike,ALEPPO,Yaqed Al Adas,NA,NA,AL_466d8,Unlawful attacks,2016-11-18,22.0,20.0,مركز عندان الإعلامي,https://www.youtube.com/watch?v=_YvCB7GT7aE,NA,NA,466d8548c3517b616a1f83803ef8829d6012f1533e404299aac8c223,https://media.syrianarchive.org/files/spoon/sV_20161118__YvCB7GT7aE.mp4,37248
Al Bayan hospital being targeted and out of service as a result of airstrikes,ALEPPO,Alshaar,NA,NA,HO_96abd,Specifically protected persons and objects,2016-11-18,19.0,52.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=I1iCpmFPCFI,NA,NA,96abd14bdca7c88573ffe2ee7d9de09d94d3405f51ef55a231007f12,https://media.syrianarchive.org/files/spoon/sV_20161118_I1iCpmFPCFI.mp4,37299
One child casualty and one being rescued as a result of airstrikes,ALEPPO,Yaqed Al Adas,NA,NA,AL_e1cbf,Unlawful attacks,2016-11-18,19.0,21.0,وكالة ثقة,https://www.youtube.com/watch?v=ENNf-ygpJA0,NA,NA,e1cbffafa4a29b679db3ce9c3ce929df3baf7135605a6fd63a852dc2,https://media.syrianarchive.org/files/spoon/sV_20161118_ENNf-ygpJA0.mp4,37289
Alleged Russian airstrike that cased casualties in Aleppo countryside,ALEPPO,Yaqed Al Adas,NA,NA,AL_78ec7,Unlawful attacks,2016-11-18,19.0,17.0,baladi- news,https://www.youtube.com/watch?v=UzgCPOo9034,NA,NA,78ec71dc632af022a65b5b1eb40ba0d9a467ac6f3c82b7435ab198da,https://media.syrianarchive.org/files/spoon/sV_20161118_UzgCPOo9034.mp4,37327
Airstrike that targeted Aleppo countryside,ALEPPO,Yaqed Al Adas,NA,NA,AL_582c1,Unlawful attacks,2016-11-18,19.0,9.0,Qasioun News Agency,https://www.youtube.com/watch?v=8yyG1ly8H40,NA,NA,582c180060397ae3f82c8369c990dfe08d133b44a897c0d90f984ed0,https://media.syrianarchive.org/files/spoon/sV_20161118_8yyG1ly8H40.mp4,37370
Chlorine cylinder attack that targeted Hanano district in Aleppo,ALEPPO,Masaken Hanano,NA,NA,CW_ffa40,Use of illegal weapons,2016-11-18,19.0,8.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=PiDntC_E0SY,Chemical Weapons,NA,ffa402295339b651339dcf3c1d45bb1a38c9c623d42835cb26abd6c1,https://media.syrianarchive.org/files/spoon/sV_20161118_PiDntC_E0SY.mp4,37301
Alleged Russian airstrikes that targeted Aleppo university,ALEPPO,Darat Izzah,NA,NA,AL_97a59,Other,2016-11-18,19.0,0.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=MtAMqUIzAL4,NA,NA,97a59fd8d6850409cd15212aa8803cb4c6e9b8f0d8224edccb478917,https://media.syrianarchive.org/files/spoon/sV_20161118_MtAMqUIzAL4.mp4,37393
Smoke as a result of targeting Aleppo city with barrel bombs,ALEPPO,Sakhour,NA,NA,AL_93e14,Other,2016-11-18,18.0,56.0,Step News Agency,https://www.youtube.com/watch?v=OJpn9M-xkUQ,NA,NA,93e14e344f613fba4d0c8e9c1f2c2d7bbe82429af15219d171c07ff1,https://media.syrianarchive.org/files/spoon/sV_20161118_OJpn9M-xkUQ.mp4,37337
The moment of targeting Aleppo city with barrel bombs,ALEPPO,NA,NA,NA,AL_c4650,Other,2016-11-18,18.0,48.0,Qasioun News Agency,https://www.youtube.com/watch?v=84bfjArggbc,NA,NA,c4650943fafe1810bae24236333c472df23751a1a6c6cb92d2494ed4,https://media.syrianarchive.org/files/spoon/sV_20161118_84bfjArggbc.mp4,37375
The moment of targeting Aleppo city with barrel bombs,ALEPPO,NA,NA,NA,AL_96d26,Other,2016-11-18,18.0,47.0,Qasioun News Agency,https://www.youtube.com/watch?v=yqPqga4CKh0,Barrel Bomb,NA,96d26641a6bc6f8256077f340f8e8df486f19acdfec642e753a518e5,https://media.syrianarchive.org/files/spoon/sV_20161118_yqPqga4CKh0.mp4,37359
Destruction as a result of airstrikes that targeted Aleppo city,ALEPPO,Al Haj bridge,NA,NA,AL_e8293,Unlawful attacks,2016-11-18,18.0,29.0,Step News Agency,https://www.youtube.com/watch?v=uqVeXpYmZ_E,NA,NA,e8293e0a79d11fa1413f8da39db5f568945191bf9d1de79119a85561,https://media.syrianarchive.org/files/spoon/sV_20161118_uqVeXpYmZ_E.mp4,37342
Airstrikes that targeted Aleppo city,ALEPPO,Sukkari,NA,NA,AL_ff267,Unlawful attacks,2016-11-18,18.0,25.0,Step News Agency,https://www.youtube.com/watch?v=129h200TJ1Y,NA,NA,ff267d099170af50f7da09aac8295444b2020ed91d6f3bec0e8b4182,https://media.syrianarchive.org/files/spoon/sV_20161118_129h200TJ1Y.mp4,37336
Alleged Russian airstrikes that targeted Aleppo countryside,ALEPPO,Yaqed Al Adas,NA,NA,AL_7c04d,Other,2016-11-18,17.0,59.0,مـديـنـة حـريـتـان,https://www.youtube.com/watch?v=2QW0l7AQi4g,NA,NA,7c04dc1cc758c34271734b1039053f95e03e4141dcc6d3e0340d29cb,https://media.syrianarchive.org/files/spoon/sV_20161118_2QW0l7AQi4g.mp4,37255
The civil defense is rescuing a child who was stuck under rubbels,ALEPPO,Yaqed Al Adas,NA,NA,AL_515dd,Unlawful attacks,2016-11-18,17.0,50.0,وكالة ثقة,https://www.youtube.com/watch?v=ce7rLzV4oGA,NA,NA,515dd7a8aedb8e01b80326959a7a2e130b78fe505125419efa954ec9,https://media.syrianarchive.org/files/spoon/sV_20161118_ce7rLzV4oGA.mp4,37291
Destruction as a result of an alleged Russian airstrikes,ALEPPO,Bab Nayrab,NA,NA,AL_57f10,Other,2016-11-18,17.0,14.0,Qasioun News Agency,https://www.youtube.com/watch?v=I-1CTCO7JPs,NA,NA,57f10c14e4a7648c0233c2da1eed0bd8468812a146068fb3ffd95c16,https://media.syrianarchive.org/files/spoon/sV_20161118_I-1CTCO7JPs.mp4,37360
Destruction as a result of airstrikes,ALEPPO,Alshaar,NA,NA,AL_5cc21,Other,2016-11-18,17.0,0.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=kG30SA6LiJs,NA,NA,5cc2115d09d0d1f7fca481ad99c660e5bfadddd824b4404bebe06fa6,https://media.syrianarchive.org/files/spoon/sV_20161118_kG30SA6LiJs.mp4,37303
Destruction in the building of education and literature as a result of airstrikes,ALEPPO,Darat Izzah,NA,NA,AL_67e36,Other,2016-11-18,16.0,59.0,وكالة ثقة,https://www.youtube.com/watch?v=MxP9d5BW-5o,NA,NA,67e36aaee82f896dab329e694c28713c18b75e5476e046a0e91e4815,https://media.syrianarchive.org/files/spoon/sV_20161118_MxP9d5BW-5o.mp4,37288
Three civilian casualties as a result of an alleged Russian airstrikes in Aleppo city,ALEPPO,Al-Fardos,NA,NA,AL_bf3e4,Other,2016-11-18,16.0,58.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=73U62AqYGj0,NA,NA,bf3e4782f068dc60e96abd5fa9184d35ed0f3482efab69c62f5390ba,https://media.syrianarchive.org/files/spoon/sV_20161118_73U62AqYGj0.mp4,37356
The Syrian civil defense is taking out a second child from under the rubbels in Aleppo countryside,ALEPPO,Yaqed Al Adas,NA,NA,AL_d736c,Unlawful attacks,2016-11-18,16.0,57.0,الدفاع المدني السوري - حلب,https://www.youtube.com/watch?v=FIXBDTqdMLY,NA,NA,d736ca3bcd6f304b0f885b07f18ed1751642c0da554f7d081afff16d,https://media.syrianarchive.org/files/spoon/sV_20161118_FIXBDTqdMLY.mp4,37277
Injured as a result of airstrikes that targeted Aleppo city,ALEPPO,NA,NA,NA,AL_3ec8e,Unlawful attacks,2016-11-18,16.0,56.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=JNR2kRGs0Iw,NA,NA,3ec8ec6acce242c14f72ca9530c977ef70aa97838cf19b5a84985473,https://media.syrianarchive.org/files/spoon/sV_20161118_JNR2kRGs0Iw.mp4,37300
Alleged Russian airstrike that targeted Al Bayan hospital,ALEPPO,Alshaar,NA,NA,HO_b9571,Specifically protected persons and objects,2016-11-18,16.0,49.0,Orient News,https://www.youtube.com/watch?v=Tf6gAauY7NA,NA,NA,b9571c4a28998303671a62549a8972e7840758462d2d57c0e3541173,https://media.syrianarchive.org/files/spoon/sV_20161118_Tf6gAauY7NA.mp4,37432
Chlorine gas attack that targeted Aleppo city,ALEPPO,Masaken Hanano,NA,NA,CW_866d2,Use of illegal weapons,2016-11-18,16.0,48.0,Orient News,https://www.youtube.com/watch?v=wNrzAY1DFFw,Chemical Weapons,NA,866d217eadb44b0d31e59be487b55a88c5e69dd82bdde73fea719847,https://media.syrianarchive.org/files/spoon/sV_20161118_wNrzAY1DFFw.mp4,37425
Remnants of cluster bombs as a result of an airstrike,ALEPPO,Kafar Naseh,NA,NA,CL_5d719,Use of illegal weapons,2016-11-18,16.0,34.0,Step News Agency,https://www.youtube.com/watch?v=uVFyIWioVL8,Cluster Munition,NA,5d719b596b0aa3e85c45fd100b16b519a965d0f1971b68aafed1d062,https://media.syrianarchive.org/files/spoon/sV_20161118_uVFyIWioVL8.mp4,37333
Casualties as a result of attacks that targeted Aleppo city,ALEPPO,Bab Road,NA,NA,AL_cb936,Other,2016-11-18,16.0,31.0,وكالة ثقة,https://www.youtube.com/watch?v=IUB-2gHZLCA,NA,NA,cb936a8a041a5725b998ea59fa88996bd4402d8eebf2e216536b6a0b,https://media.syrianarchive.org/files/spoon/sV_20161118_IUB-2gHZLCA.mp4,37290
Casualties including children as a result of airstrikes,ALEPPO,NA,NA,NA,AL_578d0,Unlawful attacks,2016-11-18,16.0,30.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=i94TvelwU_M,NA,NA,578d07e59105fe5b51ee81012ca2162bd1e3cfc764272b90d3428f16,https://media.syrianarchive.org/files/spoon/sV_20161118_i94TvelwU_M.mp4,37298
Child casualty as a result of an airstrike that targeted Aleppo city,ALEPPO,Ma'adi,NA,NA,AL_82884,Unlawful attacks,2016-11-18,16.0,14.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=wuhdfO-cmwI,NA,NA,828844de3ed31cf764084beebf9fd92804cfd529245a87741ce72d0a,https://media.syrianarchive.org/files/spoon/sV_20161118_wuhdfO-cmwI.mp4,37297
Casualties including children as a result of airstrikes,ALEPPO,Yaqed Al Adas,NA,NA,AL_1c270,Unlawful attacks,2016-11-18,16.0,13.0,Hayan Media Office,https://www.youtube.com/watch?v=AOc9m2QGfSY,NA,NA,1c27019357246619e547954724dbe22a9cfc0bfcdd835c68bb97cd0b,https://media.syrianarchive.org/files/spoon/sV_20161118_AOc9m2QGfSY.mp4,37253
The civil defense team rescuing civilians under rubbels as a result of an airstrike,ALEPPO,Al-Fardos,NA,NA,AL_e0c66,Unlawful attacks,2016-11-18,15.0,55.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=vWWIf5spL6o,NA,NA,de0c66d991ad50b017dff4dbfbf6e7a7fd74d96eec6410c7a0d2f7fe,https://media.syrianarchive.org/files/spoon/sV_20161118_vWWIf5spL6o.mp4,37302
Airstrikes that targeted civilians with rockets that have parachute in Aleppo city,ALEPPO,Al-Fardos,NA,NA,AL_e0f02,Other,2016-11-18,15.0,48.0,Biroya Media Foundation,https://www.youtube.com/watch?v=jx9wZq34kB4,NA,NA,e0f02e317871ee41cc3ced4aa505b3c847c17c10376488fbeb874eec,https://media.syrianarchive.org/files/spoon/sV_20161118_jx9wZq34kB4.mp4,37242
Alleged Russian attacks that targeted Aleppo countryside,ALEPPO,Harithan,NA,NA,AL_51a49,Other,2016-11-18,15.0,39.0,Qasioun News Agency,https://www.youtube.com/watch?v=Lnp6QNj0gXo,NA,NA,51a49e4a62adb7be953db1c9fd19cda5592212611c855adbe78214c1,https://media.syrianarchive.org/files/spoon/sV_20161118_Lnp6QNj0gXo.mp4,37369
Alleged Russian attacks that targeted Aleppo countryside,ALEPPO,Asia,NA,NA,AL_2cd99,Other,2016-11-18,15.0,39.0,Qasioun News Agency,https://www.youtube.com/watch?v=KU3FgO__zBc,NA,NA,2cd99eedd7ae3038f11ab969333a8c009708ee861b3a44c482b2a574,https://media.syrianarchive.org/files/spoon/sV_20161118_KU3FgO__zBc.mp4,37374
Casualties as a result of attacks,ALEPPO,Hayyan,NA,NA,AL_1c0bc,Other,2016-11-18,15.0,20.0,Hayan Media Office,https://www.youtube.com/watch?v=Ye_V0jMqV9M,NA,NA,1c0bc8ba84f40c2d6a1f04a8358c979f98f740b0268a1053cfd63f10,https://media.syrianarchive.org/files/spoon/sV_20161118_Ye_V0jMqV9M.mp4,37254
Alleged Russian attacks that targeted Aleppo city using a rocket with parachute,ALEPPO,Salah al-Din,NA,NA,AL_cb2db,Other,2016-11-18,14.0,56.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=7V2zmAfcUvE,NA,NA,cb2dbfea3fa77fe95bb980653ba27243274c99dcbb4733f532371560,https://media.syrianarchive.org/files/spoon/sV_20161118_7V2zmAfcUvE.mp4,37344
Alleged Russian attacks that targeted Aleppo city,ALEPPO,Bab Nayrab,NA,NA,AL_76e2f,Other,2016-11-18,14.0,40.0,شبكة حلب نيوز - Halab News Network,https://www.youtube.com/watch?v=0zffegztGRw,NA,NA,76e2f980e27b7519d0955163dcd5bae81ea72f45361217a49ebfca7c,https://media.syrianarchive.org/files/spoon/sV_20161118_0zffegztGRw.mp4,37276
Injured as a result of cluster bombs attack that targeted Aleppo city,ALEPPO,Al-Fardos,NA,NA,AL_6f679,Unlawful attacks,2016-11-18,14.0,15.0,مركز حلب الإعلامي AMC,https://www.youtube.com/watch?v=YFedq1vFJ3Y,NA,NA,6f6797c9f2f4d813e4b8788e7ce6bff1e0d3137a7d633a63d2f39758,https://media.syrianarchive.org/files/spoon/sV_20161118_YFedq1vFJ3Y.mp4,37296
Destruction as a result of airtrikes that targeted Aleppo city,ALEPPO,Bab Nayrab,NA,NA,AL_32d64,Other,2016-11-18,13.0,16.0,شبكة حلب نيوز - Halab News Network,https://www.youtube.com/watch?v=sg7H6oWwnmo,NA,NA,32d64e6ba373c73fc4e941df91f0c999e4a69569926ae66b600fcb55,https://media.syrianarchive.org/files/spoon/sV_20161118_sg7H6oWwnmo.mp4,37274
Destruction as a result of airtrikes that targeted Aleppo city,ALEPPO,Ansari,NA,NA,AL_e53a9,Other,2016-11-18,13.0,8.0,Qasioun News Agency,https://www.youtube.com/watch?v=i69MQE0-Mmc,NA,NA,e53a97cc4412c2165b4a872924b83b230b4ccbb139e4172001a090bb,https://media.syrianarchive.org/files/spoon/sV_20161118_i69MQE0-Mmc.mp4,37368
Alleged Russian attacks that caused two casualties in Aleppo countryside,ALEPPO,Qabtan al Jabal,NA,NA,AL_0e8ec,Other,2016-11-18,13.0,1.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=eisQJ0sWK7w,NA,NA,0e8ecfb090e76121787cf89bcbf69be9496397b1ead462fe9b2421a9,https://media.syrianarchive.org/files/spoon/sV_20161118_eisQJ0sWK7w.mp4,37349
Destruction as a result of two barrel bombs attacks in Aleppo city,ALEPPO,Bab Nayrab,NA,NA,AL_513a0,Other,2016-11-18,12.0,56.0,شبكة حلب نيوز - Halab News Network,https://www.youtube.com/watch?v=QB_xPZ2lCBM,NA,NA,513a0db9e846d1e2460e371bb97025a9ff6165ba25ee06ff1e2dc0d1,https://media.syrianarchive.org/files/spoon/sV_20161118_QB_xPZ2lCBM.mp4,37275
Alleged Russian airstrike that targeted Aleppo countryside,ALEPPO,Rif al Mohandeseen,NA,NA,AL_5d053,Other,2016-11-18,12.0,37.0,baladi- news,https://www.youtube.com/watch?v=8U141pwRuiA,NA,NA,5d053f986272546229cd05a9643c10d38a5845536754b5097a2e38f8,https://media.syrianarchive.org/files/spoon/sV_20161118_8U141pwRuiA.mp4,37329
One casualty and injured as a result of airstrikes that targeted Aleppo city,ALEPPO,Masaken Hanano,NA,NA,CW_30d11,Use of illegal weapons,2016-11-18,11.0,27.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=DJ8KxgXFZNU,Chemical Weapons,NA,30d115dd8f4fde158838e7422ac96dbb86e3f386a87b49da85163a27,https://media.syrianarchive.org/files/spoon/sV_20161118_DJ8KxgXFZNU.mp4,37345
Interview with Ahmad Sweid who is leading the emergency system in Aleppo,ALEPPO,NA,NA,NA,AL_8a6cb,Other,2016-11-18,11.0,9.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=SPsbq2AiFSE,NA,NA,8a6cbf2f5e649d03bbfc601ab2920bf22032e10fe425997a7135427f,https://media.syrianarchive.org/files/spoon/sV_20161118_SPsbq2AiFSE.mp4,37406
Shelling and chlorine attack that targeted Aleppo city,ALEPPO,Masaken Hanano,NA,NA,CW_d681f,Use of illegal weapons,2016-11-18,11.0,8.0,قناة الجسر الفضائية,https://www.youtube.com/watch?v=yrYPZ19ZAYg,Chemical Weapons,NA,d681f739eac4090206512a4b0afbdb6a7755d4cb790d41ccf6ff6494,https://media.syrianarchive.org/files/spoon/sV_20161118_yrYPZ19ZAYg.mp4,37408
The civil defense team is destroying cluster bomb remains,ALEPPO,Al atarib,NA,NA,CL_de5a2,Use of illegal weapons,2016-11-18,10.0,58.0,SMART News Agency - وكالة سمارت للأنباء,https://www.youtube.com/watch?v=g5YifBwUWXc,Cluster Munition,NA,de5a27764191e97352052b46a97a44924eb119b175cf4f0df34cddef,https://media.syrianarchive.org/files/spoon/sV_20161118_g5YifBwUWXc.mp4,37352
Smoke as a result of an airstrike that targeted Aleppo countryside,ALEPPO,Kafar Naseh,NA,NA,AL_3d1a0,Other,2016-11-18,10.0,52.0,Step News Agency,https://www.youtube.com/watch?v=vR-q50qquUs,NA,NA,3d1a059e182c25bfd3181e110d1a6d4a1f1509664630a7c593f63ba9,https://media.syrianarchive.org/files/spoon/sV_20161118_vR-q50qquUs.mp4,37335
